name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,gameAgeDays,revenuePerCopy
WWE 2K24,2024-07-03,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690,68,48.72987459241021
Empires of the Undergrowth,2024-07-06,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530,65,17.024462884406258
ANIMAL WELL,2024-09-05,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230,4,20.989152998944068
Age of Mythology: Retold,2024-04-09,236419,29.99,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680,153,26.990999031380728
Winter Memories,2024-05-01,424281,19.99,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450,131,12.912039426700701
Pixel Gun 3D: PC Edition,2024-02-04,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890,218,2.893754106794798
Backpack Battles,2024-08-03,499559,12.99,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700,37,9.33516961960449
"Little Kitty, Big City",2024-09-05,206880,24.99,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980,4,20.48596771075019
Chrono Ark,2024-02-05,301197,24.99,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930,217,13.656623405943618
Nova Drift,2024-12-08,445361,17.99,4047331.0,24.72868457429413,96,Indie,Pixeljam,Chimeric,858210,-90,9.087753530282175
Banishers: Ghosts of New Eden,2024-12-02,78137,49.99,3387809.0,22.31599204035413,87,AA,Focus Entertainment,DON'T NOD,1493640,-84,43.35729551940822
Buckshot Roulette,2024-04-04,1486957,2.99,3369649.0,2.995872787721658,95,Indie,CRITICAL REFLEX,Mike Klubnika,2835570,158,2.2661374874996385
Fields of Mistria,2024-05-08,265456,13.99,3342356.0,15.649349536238686,98,Indie,NPC Studio,NPC Studio,2142790,124,12.590998131517088
Five Nights at Freddy's: Into the Pit,2024-07-08,181334,19.99,3262379.0,5.095655826350983,96,Indie,Mega Cat Studios,Mega Cat Studios,2638370,63,17.990994518402506
Hookah Haze,2024-10-07,17717,17.99,263733.0,4.766068924187017,92,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300,-28,14.885872326014562
Botany Manor,2024-09-04,12312,24.99,263004.0,3.329619728276769,96,Indie,Whitethorn Games,Balloon Studios,1425350,5,21.36159844054581
Revue Starlight El Dorado,2024-07-08,9499,29.99,256387.0,5.427033571710683,98,Indie,Bushiroad Inc.,Frontwing,2849960,63,26.99094641541215
The Brew Barons,2024-01-03,14325,21.99,256071.0,13.184460733075102,0,Indie,Lifetap Studios,Lifetap Studios,1636710,250,17.875811518324607
Great Houses of Calderia,2024-02-05,14675,24.99,253627.0,8.063675087275312,78,Indie,Firesquid,Resistance Games,1812910,217,17.282930153321978
King Arthur: Legion IX,2024-09-05,15238,19.99,252953.0,12.391322087258976,71,Indie,NeocoreGames,NeocoreGames,2739830,4,16.60014437590235
Turbo Golf Racing,2024-04-04,27537,9.99,240922.0,8.278991424104499,86,Indie,Hugecalf Studios,Hugecalf Studios,1324350,158,8.749028579729092
Idle Hero TD - Tower Defense,2024-03-05,13061,0.0,235863.0,189.0570113996993,79,Indie,Swell Games LLC,Swell Games LLC,2897580,188,18.05857131919455
Hairdresser Simulator,2024-06-03,14398,19.99,235724.0,7.94368062025551,49,Indie,Frozen Way,GameFormatic S.A.,1330560,98,16.37199611057091
Nevergrind Online,2024-11-07,27973,15.99,235479.0,43.736640716411806,89,Indie,Neverworks Games,Neverworks Games,853450,-59,8.418081721660172
Zoonomaly,2024-06-03,43112,5.99,232416.0,6.127524221454782,72,Indie,LIGHTS ARE OFF LLC,LIGHTS ARE OFF LLC,2101890,98,5.390981629244758
Hexguardian,2024-02-05,24896,11.99,227666.0,16.151996485734074,84,Indie,Yogscast Games,Split Second Games,2381740,217,9.144681876606684
Modern Pink Elf RPG,2024-02-02,24006,11.99,227642.0,3.399177167134526,88,Indie,"Remtairy,CursedAtelier",Warshop,2745710,220,9.482712655169541
Blockbuster Inc.,2024-06-06,10529,24.99,222603.0,7.775502852784427,53,Indie,Ancient Forge,Super Sly Fox,1793090,95,21.141893817076646
GUARDS!,2024-01-03,19148,14.99,222412.0,3.8115169276491287,73,Indie,WYLDERZONE,"WYLDERZONE,Lowkey GameDev",2514460,250,11.61541675370796
Path of Achra,2024-07-05,26939,9.99,218518.0,28.54435664963007,99,Indie,Slouching Beast LLC,Ulfsire,2128270,66,8.11158543375775
Sisters: Last Day of Summer,2024-03-06,10528,24.99,218069.0,2.863190329208691,84,Indie,JAST,Jellyfish,2781750,187,20.713240881458965
Angel at Dusk,2024-12-01,20643,14.99,217085.0,10.783586495954678,99,Indie,"Henteko Doujin,Sanuk Inc.",Akiragoya,1405500,-83,10.516155597539118
Sex Formula,2024-05-09,6030,39.99,217025.0,1.3852123208746496,77,Indie,MIGI STUDIO,MIGI STUDIO,2889660,123,35.99087893864013
Vae Victis - Khan,2024-01-03,16129,14.99,214566.0,10.44505482765064,83,Indie,Doorknob22,Doorknob22,2540230,250,13.303118606237213
Tour de France 2024,2024-06-06,5833,39.99,208625.0,20.921704466723124,72,AA,Nacon,Cyanide Studio,2494340,95,35.766329504543116
The Bathhouse | 地獄銭湯 Restored Edition,2024-09-08,28170,7.99,202570.0,2.4106187515297246,92,Indie,Chilla's Art,Chilla's Art,2989950,1,7.190983315583955
Shipwrecked 64,2024-01-01,26225,7.99,202048.0,7.407742826442237,96,Indie,Cogware Games,"Squeaks D'Corgeh,Cogware Games",2160220,252,7.704404194470925
Subterrain: Mines of Titan,2024-12-03,12552,19.99,200632.0,15.648462349326858,0,Indie,indie.io,Pixellore Inc,1573100,-85,15.984066284257489
Chill Pulse,2024-02-05,51928,4.99,199035.0,31.10197244558289,95,Indie,Catos Game,Catos Game,2826180,217,3.832903250654753
Rocksmith+,2024-06-06,35660,0.0,193594.0,3.87375145779168,11,AAA,Ubisoft,"Ubisoft San Francisco,Ubisoft Osaka,Ubisoft Bucharest,Ubisoft Pune",2834910,95,5.428883903533371
道衍诀,2024-08-05,19716,11.99,188260.0,8.306483637567908,66,Indie,宁德动游网络科技有限公司,宁德动游网络科技有限公司,1951220,35,9.5485899776831
Final Factory,2024-09-04,10896,18.99,186670.0,20.93961115219039,83,Indie,Never Games Limited,Never Games Limited,1383150,5,17.13197503671072
Yellow Taxi Goes Vroom,2024-09-04,13798,16.99,184444.0,6.573973275788298,99,Indie,"Xelu,Those Awesome Guys",Panik Arcade,2011780,5,13.3674445571822
WitchHand,2024-07-02,18046,11.99,182797.0,11.343093374261317,0,Indie,HopFrog,Jon Nielsen,2420880,69,10.129502382799512
Zoria: Age of Shattering,2024-07-03,9307,24.99,180957.0,17.806999014427912,80,Indie,"Anshar Publishing,Surefire.Games",Tiny Trinket Games,1159090,68,19.443107338562374
Having a HARD Time,2024-12-02,16580,12.99,180236.0,5.873573137485592,96,Indie,Quadruple-Q,Quadruple-Q,2420460,-84,10.870687575392038
Computer Repair Shop,2024-12-01,22799,9.99,179631.0,4.467348573895426,0,Indie,Cheesecake Dev,Cheesecake Dev,2479290,-83,7.878898197289355
KeepUp Survival,2024-05-03,23894,8.99,179352.0,8.238716732494117,68,Indie,Witte Studio,Witte Studio,1524630,129,7.506152172093413
Kukoro: Stream chat games,2024-02-02,61373,5.99,175228.0,17.006639023780735,98,Indie,HeyNau,HeyNau,1166990,220,2.855131735453701
Backrooms Rec.,2024-06-03,20159,9.99,175194.0,1.9294587589570893,72,Indie,Liminal Logic,Liminal Logic,2275020,98,8.69060965325661
